population,fertility,HIV,CO2,BMI_male,GDP,BMI_female,life,child_mortality,Region
34811059,2.73,0.1,3.328944661,24.5962,12314,129.9049,75.3,29.5,Middle East & North Africa
19842251,6.43,2,1.474353388,22.25083,7103,130.1247,58.3,192,Sub-Saharan Africa
40381860,2.24,0.5,4.785169983,27.5017,14646,118.8915,75.5,15.4,America
2975029,1.4,0.1,1.804106217,25.35542,7383,132.8108,72.5,20,Europe & Central Asia
21370348,1.96,0.1,18.01631327,27.56373,41312,117.3755,81.5,5.2,East Asia & Pacific
8331465,1.41,0.3,8.183160018,26.46741,43952,124.1394,80.4,4.6,Europe & Central Asia
8868713,1.99,0.1,5.109538292,25.65117,14365,128.6024,70.6,43.3,Europe & Central Asia
348587,1.89,3.1,3.131921321,27.24594,24373,124.3862,72.2,14.5,America
148252473,2.38,0.06,0.319161002,20.39742,2265,125.0307,68.4,55.9,South Asia
277315,1.83,1.3,6.008278835,26.38439,16075,126.394,75.3,15.4,America
9526453,1.42,0.2,6.48817388,26.16443,14488,129.7968,70.1,7.2,Europe & Central Asia
10779155,1.82,0.2,9.797336714,26.75915,41641,121.8227,79.4,4.7,Europe & Central Asia
306165,2.91,2.4,1.36012592,27.02255,8293,120.9224,70.7,20.1,America
8973525,5.27,1.2,0.537539184,22.41835,1646,130.2723,63.2,116.3,Sub-Saharan Africa
694990,2.51,0.2,0.60121031,22.8218,5663,125.1258,67.6,48.1,South Asia
9599916,3.48,0.2,1.43182915,24.43335,5066,122.4155,70.9,52,America
1967866,2.86,24.9,2.547205492,22.12984,13858,133.1307,61.2,63.8,Sub-Saharan Africa
194769696,1.9,0.45,2.023772836,25.78623,13906,124.8745,73.9,18.6,America
7513646,1.43,0.1,6.690139082,26.54286,15368,128.4721,73.2,13.7,Europe & Central Asia
14709011,6.04,1.2,0.109419171,21.27157,1358,130.6651,59.4,130.4,Sub-Saharan Africa
8821795,6.48,3.5,0.031388801,21.50291,723,134.1955,57.4,108.6,Sub-Saharan Africa
13933660,3.05,0.6,0.287547496,20.80496,2442,117.5528,66.2,51.5,East Asia & Pacific
19570418,5.17,5.3,0.295541639,23.68173,2571,127.2823,56.6,113.8,Sub-Saharan Africa
33363256,1.68,0.2,16.35039863,27.4521,41468,118.0571,80.7,5.8,America
11139740,6.81,3.4,0.047839126,21.48569,1753,127.864,54.8,168,Sub-Saharan Africa
16645940,1.89,0.4,4.240259136,27.01542,18698,125.5417,78.9,8.9,America
44901660,2.43,0.5,1.47609182,24.94041,10489,124.0235,75.1,19.7,America
665414,5.05,0.06,0.178853064,22.06131,1440,132.1354,62.6,91.2,Sub-Saharan Africa
3832771,5.1,3.5,0.384220477,21.87134,5022,131.6935,58.6,72.6,Sub-Saharan Africa
4429506,1.91,0.3,1.911933419,26.47897,12219,121.35,79.7,10.3,America
19261647,4.91,3.7,0.361896603,22.56469,2854,131.5237,55.9,116.9,Sub-Saharan Africa
4344151,1.43,0.06,5.287902576,26.59629,21873,130.3921,76.5,5.9,Europe & Central Asia
11290239,1.5,0.1,2.701777167,25.06867,17765,126.0594,77.8,6.3,America
5495302,1.89,0.2,8.541507801,26.13287,45017,119.5815,78.7,4.3,Europe & Central Asia
809639,3.76,2.6,0.612799524,23.38403,2502,129.3376,61,81,Middle East & North Africa
14447600,2.73,0.4,2.110517801,25.58841,9244,122.9864,74,26.8,America
78976122,2.95,0.06,2.512394205,26.73243,9974,125.0931,70.1,31.4,Middle East & North Africa
6004199,2.32,0.8,1.067764634,26.36751,7450,119.9321,74.1,21.6,America
686223,5.31,4.7,6.798253229,23.7664,40143,132.0392,56.7,118.4,Sub-Saharan Africa
4500638,5.16,0.8,0.083745644,20.88509,1088,125.7948,60.4,60.4,Sub-Saharan Africa
1339941,1.62,1.2,13.03137887,26.26446,24743,129.5161,74,5.5,Europe & Central Asia
843206,2.74,0.1,1.277779556,26.53078,7129,127.4768,65.7,24,East Asia & Pacific
5314170,1.85,0.1,10.64411428,26.73339,42122,126.5645,79.4,3.3,Europe & Central Asia
62309529,1.97,0.4,5.999020726,25.85329,37505,120.0146,81,4.3,Europe & Central Asia
1473741,4.28,5.3,1.079539317,24.0762,15800,130.3625,57.5,68,Sub-Saharan Africa
1586749,5.8,1.7,0.251002328,21.65029,1566,130.208,62.2,87.4,Sub-Saharan Africa
4343290,1.79,0.1,1.419429779,25.54942,5900,130.5789,72.1,19.3,Europe & Central Asia
80665906,1.37,0.1,9.497246757,27.16509,41199,124.9044,80,4.4,Europe & Central Asia
23115919,4.19,1.8,0.366600849,22.84247,2907,128.2953,62.7,79.9,Sub-Saharan Africa
11161755,1.46,0.1,8.661235531,26.33786,32197,122.9342,79.5,4.9,Europe & Central Asia
14106687,4.12,0.8,0.83559482,25.29947,6960,120.9596,70.8,36.9,America
10427356,5.34,1.4,0.1269644,22.52449,1230,132.2765,58.3,121,Sub-Saharan Africa
1561293,5.25,2.5,0.156376432,21.64338,1326,130.7627,51.3,127.6,Sub-Saharan Africa
748096,2.74,1.2,2.073415312,23.68465,5208,125.1512,63,41.9,America
9705130,3.5,2,0.249306755,23.66302,1600,125.3461,61.7,83.3,America
7259470,3.27,0.8,1.187453516,25.10872,4391,122.9621,70.9,26.5,America
10050699,1.33,0.06,5.453231724,27.11568,23334,128.6968,73.8,7.2,Europe & Central Asia
310033,2.12,0.3,6.821903051,27.20687,42294,118.7381,82,2.7,Europe & Central Asia
1197070109,2.64,0.32,1.520849421,20.95956,3901,123.1274,64.4,65.6,South Asia
235360765,2.48,0.2,1.75504422,21.85576,7856,126.4216,69.5,36.2,East Asia & Pacific
72530693,1.88,0.2,7.892210941,25.31003,15955,125.1859,76.9,21.4,Middle East & North Africa
4480145,2,0.2,9.882531034,27.65325,47713,124.7801,79.4,4.5,Europe & Central Asia
7093808,2.92,0.2,10.00118814,27.13151,28562,121.0838,80.9,4.9,Middle East & North Africa
59319234,1.39,0.3,7.465942415,26.4802,37475,123.703,81.4,4.1,Europe & Central Asia
2717344,2.39,1.7,4.391456474,24.00421,8951,125.3685,75.5,18.9,America
127317900,1.34,0.06,9.536605686,23.50004,34800,121.9651,82.6,3.4,East Asia & Pacific
